Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2081.7","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3773.1","Fc","Donnée calculée"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2453","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1378.8","","Donnée officielle"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1231.5","","Donnée officielle"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3872.3","","Donnée officielle"
"PP","Prix à la Production","11","Autriche","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3226.3","","Donnée officielle"
"PP","Prix à la Production","52","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2023.5","","Donnée officielle"
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1430.7","Fc","Donnée calculée"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","949.9","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3380.5","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","5045.8","","Donnée officielle"
"PP","Prix à la Production","351","Chine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1952.2","","Donnée officielle"
"PP","Prix à la Production","41","Chine, continentale","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1952.2","","Donnée officielle"
"PP","Prix à la Production","50","Chypre","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2973","","Donnée officielle"
"PP","Prix à la Production","54","Danemark","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1341.8","","Donnée officielle"
"PP","Prix à la Production","59","Égypte","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1455.3","","Donnée officielle"
"PP","Prix à la Production","60","El Salvador","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2816","","Donnée officielle"
"PP","Prix à la Production","203","Espagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1367.9","","Donnée officielle"
"PP","Prix à la Production","63","Estonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1553.8","Fc","Donnée calculée"
"PP","Prix à la Production","185","Fédération de Russie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1557.2","","Donnée officielle"
"PP","Prix à la Production","66","Fidji","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","5748.8","","Donnée officielle"
"PP","Prix à la Production","67","Finlande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1555.3","","Donnée officielle"
"PP","Prix à la Production","68","France","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1777.9","","Donnée officielle"
"PP","Prix à la Production","73","Géorgie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1763.9","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1865.8","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","4592.9","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3342.6","","Donnée officielle"
"PP","Prix à la Production","108","Kazakhstan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1259.1","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2067.8","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1658.4","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","5500.1","","Donnée officielle"
"PP","Prix à la Production","154","Macédoine du Nord","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","950.6","Fc","Donnée calculée"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2218","","Donnée officielle"
