Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","21010","Suffisance des apports énergétiques alimentaires moyens (%) (moyenne sur 3 ans)","20172019","2017-2019","%","95","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20172019","2017-2019","Kcal/personne/jour","2048","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2018","2018","I$","2190.2","X","Sources internationales sûres",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","29.9","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20172019","2017-2019","millions","11.1","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20172019","2017-2019","%","22.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210091","Prévalence de l’insécurité alimentaire modérée ou grave – population totale (%) (moyenne sur 3 ans)","20172019","2017-2019","%","60.8","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20172019","2017-2019","millions","8.5","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210081","Nombre de personnes en situation d’insécurité alimentaire modérée ou grave (millions) (moyenne sur 3 ans)","20172019","2017-2019","millions","22.6","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","2","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2018","2018","indice","-2.75","X","Sources internationales sûres",""
