Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","2","Afghanistan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2874","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","2","Afghanistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3415","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","2","Afghanistan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","2","Afghanistan","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","202","Afrique du Sud","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","544","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8287","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","8198","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","10267","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","6443","*","Chiffre non officiel"
"TA","Animaux vivants","3","Albanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5821","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","3","Albanie","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TA","Animaux vivants","4","Algérie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5699","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","22905","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","4","Algérie","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","79","Allemagne","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","166356","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173124","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","270858","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","698650","","Donnée officielle"
"TA","Animaux vivants","7","Angola","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","702","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","7","Angola","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","688","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","7","Angola","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","7","Angola","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","23","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","36","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","3","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","3","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5747","*","Chiffre non officiel"
"TA","Animaux vivants","194","Arabie saoudite","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","26985","","Donnée officielle"
"TA","Animaux vivants","194","Arabie saoudite","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4194","*","Chiffre non officiel"
"TA","Animaux vivants","194","Arabie saoudite","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","9782","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","625","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10923","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","289","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","1190","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","7243","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4397","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","85","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","94","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","258","","Donnée officielle"
"TA","Animaux vivants","10","Australie","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","1170","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","11802","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","27464","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","9805","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","9075","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","6942","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5109","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","25","","Donnée officielle"
"TA","Animaux vivants","12","Bahamas","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","515","*","Chiffre non officiel"
"TA","Animaux vivants","12","Bahamas","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","821","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","151","*","Chiffre non officiel"
"TA","Animaux vivants","13","Bahreïn","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","13","Bahreïn","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","16","Bangladesh","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2356","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","16","Bangladesh","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10232","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","16","Bangladesh","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","16","Bangladesh","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","14","Barbade","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","14","Barbade","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","14","Barbade","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","602","","Donnée officielle"
"TA","Animaux vivants","14","Barbade","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","630","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","22533","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","18650","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","56","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","64","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","154169","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","334425","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","99615","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","87024","","Donnée officielle"
"TA","Animaux vivants","15","Belgique-Luxembourg","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","15","Belgique-Luxembourg","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","15","Belgique-Luxembourg","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","15","Belgique-Luxembourg","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","23","Belize","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","121","","Donnée officielle"
"TA","Animaux vivants","23","Belize","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","403","","Donnée officielle"
"TA","Animaux vivants","23","Belize","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","23","Belize","5922","Exportations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","53","Bénin","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","73","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","82","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
