,cluster,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
155,4,Émirats arabes unis,3275.0,104.50999999999999,39.900487991579766,2.9587811556460784
156,4,Algérie,3293.0,91.92000000000002,27.1758050478677,7.152550008515594
157,4,Koweït,3499.0,108.14999999999998,49.53305594082294,18.570318119590688
158,4,Cuba,3402.0,90.85999999999999,34.9768875192604,0.6362069807959582
159,4,Chine,3112.0,98.04999999999998,40.418154003059655,2.9266319867321635
160,4,Tunisie,3349.0,98.49000000000001,28.81510813280536,4.913023128607968
161,4,Maroc,3402.0,97.88,27.217000408663672,8.385148635298702
162,4,Arabie saoudite,3255.0,91.59000000000002,43.58554427339229,14.461001349563224
163,4,"Chine, continentale",3112.0,98.05,40.05099439061704,2.9475607648229842
164,4,Azerbaïdjan,3113.0,93.10999999999999,32.30587477177532,5.392582589521503
165,4,Iran (République islamique d'),3089.0,87.25000000000001,25.44412607449856,5.321733490392467
166,4,Turquie,3708.0,108.11999999999996,33.57380688124307,8.99572514423351
167,4,Égypte,3518.0,103.21999999999998,25.518310404960282,16.629749706975762
