,Zone,PIB_HAB_euros,Exportations - Valeur,Importations - Valeur,cluster,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
0,Afghanistan,565.25839845,0.0,3415.0,1,2087.0,58.26000000000002,20.957775489186396,17.808928949354
1,Mozambique,532.9682485999999,0.0,3329.0,1,2282.0,45.680000000000014,13.879159369527136,12.41525462228714
2,Mali,667.19966411,840.0,1842.0,1,2887.0,85.13000000000001,27.828027722307052,19.791375806443412
3,Malawi,264.88239528,87.0,758.0,1,2364.0,64.53,12.071904540523786,9.812025066998869
4,Madagascar,449.08695045,1.0,49.0,1,2056.0,46.68999999999999,21.48211608481474,12.70761261584233
5,Libéria,374.88821899,,0.0,1,2206.0,37.66000000000001,21.614445034519374,10.893877180884806
6,Éthiopie,407.11129654,0.0,106.0,1,2129.0,60.389999999999986,12.733896340453722,13.84618460850703
7,Lesotho,990.19348434,0.0,3452.0,1,2528.0,73.47999999999999,17.392487751769192,1.6282096523880536
8,Kenya,1020.1541752799999,1750.0,847.0,1,2205.0,61.87,25.699046387586876,13.695687304184952
9,Namibie,4556.75502236,0.0,2168.0,1,2166.0,57.60999999999999,33.93508071515362,5.934768641600849
10,Iraq,5747.6739645299995,0.0,1670.0,1,2542.0,63.6,20.69182389937107,12.147183714250032
11,Honduras,1773.5223411499999,195.0,3801.0,1,2639.0,64.78000000000002,35.78264896573016,15.556908239689045
12,Haïti,667.1146364199999,,5975.0,1,2089.0,47.7,21.278825995807125,7.247730819375542
13,Guinée-Bissau,516.2108391,,8.0,1,2288.0,44.05,20.204313280363227,9.086204311682797
14,Guinée,602.65420532,0.0,1233.0,1,2567.0,55.86000000000001,17.7765843179377,5.391309839392385
15,Guatemala,2865.8480119,1592.0,14331.0,1,2416.0,63.73000000000001,27.961713478738424,10.319251983247302
16,Ghana,1993.5069289099997,0.0,8886.0,1,3014.0,64.57000000000002,26.668731609106384,12.974397037373675
17,Gambie,614.07041044,0.0,26.0,1,2621.0,61.309999999999995,22.997879628119396,18.906852085922772
18,Eswatini,3001.3516713299996,0.0,1847.0,1,2326.0,58.58999999999998,30.039255845707462,-10.007999781744129
19,Inde,1244.4874085999998,833.0,3268.0,1,2454.0,59.910000000000004,19.9966616591554,7.430070868404321
20,Niger,460.25838525,0.0,83.0,1,2549.0,80.92999999999996,18.188558013097744,20.549207225365866
21,Nigéria,2487.47997641,0.0,112.0,1,2700.0,63.76999999999999,15.461815900893836,11.364247108953842
22,Népal,540.5905129299999,1.0,2723.0,1,2672.0,68.99000000000002,16.59660820408754,1.0632013124848865
23,Zimbabwe,1052.54510456,2140.0,1580.0,1,2113.0,48.319999999999986,24.337748344370862,2.000179793309722
24,Zambie,1456.17703944,1490.0,2834.0,1,1924.0,55.220000000000006,16.71495834842448,16.209977715162104
25,Yémen,1127.87477493,0.0,5872.0,1,2217.0,58.89999999999999,23.5144312393888,14.357445921272923
26,Togo,509.15533529,,27.0,1,2448.0,59.76000000000002,15.127175368139218,13.589559661674668
27,Timor-Leste,3950.8627463400003,,,1,2129.0,57.51000000000001,30.846809250565116,10.644855493882368
28,Tchad,872.58541922,,,1,2109.0,62.75000000000002,15.474103585657367,17.139006633337488
29,Tadjikistan,863.32931483,,767.0,1,2199.0,63.37999999999998,33.559482486588834,9.810473434580453
30,Sénégal,1129.17237037,250.0,580.0,1,2453.0,58.31999999999999,26.148834019204394,10.857120799166259
31,Sri Lanka,3004.97221516,186.0,2993.0,1,2537.0,59.649999999999984,27.342833193629513,-0.20838237253861658
32,Soudan,1440.02812535,,2748.0,1,2335.0,70.69000000000001,41.30711557504596,9.180364270372571
33,Sierra Leone,589.979521,0.0,103.0,1,2401.0,56.11,26.483692746391014,20.367574492003424
34,Sao Tomé-et-Principe,1344.2121526199999,,43.0,1,2398.0,53.1,29.943502824858754,8.542942168811722
35,République-Unie de Tanzanie,766.21607534,2.0,1633.0,1,2204.0,57.76,17.62465373961219,12.537749870643664
36,République populaire démocratique de Corée,553.00606295,,,1,2093.0,54.98999999999999,18.312420440080015,2.562090590523438
37,République démocratique populaire lao,1526.20942156,,797.0,1,2455.0,68.89000000000001,21.16417477137465,4.128113163379998
38,République centrafricaine,288.76792778,,0.0,1,1879.0,46.04,37.18505647263249,1.0793833662497259
39,Rwanda,571.76781289,23.0,529.0,1,2224.0,56.78999999999999,9.825673534072898,4.267365308157962
40,Pakistan,1006.11050888,3119.0,9496.0,1,2438.0,65.44999999999999,41.665393430099314,14.17590772984898
